id;river;name;name_km;from_km;to_km;gs_upper;gs_lower
1;ELBE;e001_SCHOENA1;0000_0015;0;15,5;SCHOENA1;SCHOENA2
2;ELBE;e002_SCHOENA2;0015_0034;15,5;34,7;SCHOENA2;PIRNA1
3;ELBE;e003_PIRNA1;0034_0044;34,7;44,6;PIRNA1;PIRNA2
4;ELBE;e004_PIRNA2;0044_0055;44,6;55,7;PIRNA2;DRESDEN1
5;ELBE;e005_DRESDEN1;0055_0069;55,7;69,6;DRESDEN1;DRESDEN2
6;ELBE;e006_DRESDEN2;0069_0082;69,6;82,2;DRESDEN2;MEISSEN1
7;ELBE;e007_MEISSEN1;0082_0096;82,2;96,4;MEISSEN1;MEISSEN2
8;ELBE;e008_MEISSEN2;0096_0108;96,4;108,4;MEISSEN2;RIESA1
9;ELBE;e009_RIESA1;0108_0121;108,4;121,91;RIESA1;RIESA2
10;ELBE;e010_RIESA2;0121_0128;121,91;128,1;RIESA2;MUEHLBERG1
11;ELBE;e011_MUEHLBERG1;0128_0142;128,1;142,4;MUEHLBERG1;MUEHLBERG2
12;ELBE;e012_MUEHLBERG2;0142_0154;142,4;154,2;MUEHLBERG2;TORGAU1
13;ELBE;e013_TORGAU1;0154_0171;154,2;171,5;TORGAU1;TORGAU2
14;ELBE;e014_TORGAU2;0171_0185;171,5;185,5;TORGAU2;PRETZSCH-MAUKEN
15;ELBE;e015_PRETZSCH_MAUKEN;0185_0200;185,5;200,2;PRETZSCH-MAUKEN;ELSTER
16;ELBE;e016_ELSTER;0200_0214;200,2;214,2;ELSTER;WITTENBERG
17;ELBE;e017_WITTENBERG;0214_0236;214,2;236,4;WITTENBERG;COSWIG
18;ELBE;e018_COSWIG;0236_0245;236,4;245,7;COSWIG;VOCKERODE
19;ELBE;e019_VOCKERODE;0245_0261;245,7;261,2;VOCKERODE;DESSAU
20;ELBE;e020_DESSAU;0261_0274;261,2;274,8;DESSAU;AKEN1
21;ELBE;e021_AKEN1;0274_0285;274,8;285;AKEN1;AKEN2
22;ELBE;e022_AKEN2;0285_0294;285;294,9;AKEN2;BARBY1
23;ELBE;e023_BARBY1;0294_0300;294,9;300,8;BARBY1;BARBY2
24;ELBE;e024_BARBY2;0300_0311;300,8;311,8;BARBY2;SCHOENEBECK1
25;ELBE;e025_SCHOENEBECK1;0311_0318;311,8;318,7;SCHOENEBECK1;SCHOENEBECK2
26;ELBE;e026_SCHOENEBECK2;0318_0326;318,7;326,7;SCHOENEBECK2;MAGDEBURG-STROMBRUECKE1
27;ELBE;e027_MAGDEBURG_STROMBRUECKE1;0326_0337;326,7;337,6;MAGDEBURG-STROMBRUECKE1;MAGDEBURG-STROMBRUECKE2
28;ELBE;e028_MAGDEBURG_STROMBRUECKE2;0337_0343;337,6;343,6;MAGDEBURG-STROMBRUECKE2;NIEGRIPP AP
29;ELBE;e029_NIEGRIPP_AP;0343_0350;343,6;350,7;NIEGRIPP AP;ROGAETZ1
30;ELBE;e030_ROGAETZ1;0350_0361;350,7;361,4;ROGAETZ1;ROGAETZ2
31;ELBE;e031_ROGAETZ2;0361_0375;361,4;375,4;ROGAETZ2;ROGAETZ3
32;ELBE;e032_ROGAETZ3;0375_0388;375,4;388,3;ROGAETZ3;TANGERMUENDE
33;ELBE;e033_TANGERMUENDE;0388_0396;388,3;396,2;TANGERMUENDE;STORKAU
34;ELBE;e034_STORKAU;0396_0416;396,2;416,1;STORKAU;SANDAU1
35;ELBE;e035_SANDAU1;0416_0429;416,1;429,4;SANDAU1;SANDAU2
36;ELBE;e036_SANDAU2;0429_0447;429,4;447,3;SANDAU2;SCHARLEUK
37;ELBE;e037_SCHARLEUK;0447_0454;447,3;454;SCHARLEUK;WITTENBERGE
38;ELBE;e038_WITTENBERGE;0454_0464;454;464;WITTENBERGE;MUEGGENDORF
39;ELBE;e039_MUEGGENDORF;0464_0474;464;474,6;MUEGGENDORF;SCHNACKENBURG
40;ELBE;e040_SCHNACKENBURG;0474_0484;474,6;484,6;SCHNACKENBURG;LENZEN
41;ELBE;e041_LENZEN;0484_0492;484,6;492,2;LENZEN;GORLEBEN
42;ELBE;e042_GORLEBEN;0492_0504;492,2;504,8;GORLEBEN;DOEMITZ
43;ELBE;e043_DOEMITZ;0504_0523;504,8;523;DOEMITZ;HITZACKER
44;ELBE;e044_HITZACKER;0523_0536;523;536,5;HITZACKER;NEU DARCHAU
45;ELBE;e045_NEU_DARCHAU;0536_0549;536,5;549,8;NEU DARCHAU;BLECKEDE
46;ELBE;e046_BLECKEDE;0549_0558;549,8;558,5;BLECKEDE;BOIZENBURG
47;ELBE;e047_BOIZENBURG;0558_0569;558,5;569;BOIZENBURG;HOHNSTORF
48;ELBE;e048_HOHNSTORF;0569_0573;569;573,9;HOHNSTORF;ARTLENBURG
49;ELBE;e049_ARTLENBURG;0573_0586;573,9;585,7;ARTLENBURG;GEESTHACHT_WEHR
50;RHINE;r001_IFFEZHEIM;0336_0340;336,21;340,29;IFFEZHEIM;PLITTERSDORF1
51;RHINE;r002_PLITTERSDORF1;0340_0349;340,29;349,7;PLITTERSDORF1;PLITTERSDORF2
52;RHINE;r003_PLITTERSDORF2;0349_0355;349,7;355,7;PLITTERSDORF2;PLITTERSDORF3
53;RHINE;r004_PLITTERSDORF3;0355_0362;355,7;362,4;PLITTERSDORF3;MAXAU1
